Savol va javoblar,QIYINLIK DARAJASI,SHABLONNING NOMERI,TA’LIM  NATIJALARI,TEMATIK TA’LIM NATIJALARI
"Как называется логически завершенная часть учебного материала, обязательно сопровождаемая контролем знаний и умений учащихся?",1.0,2.0,,
модуль,,,,
раздел,,,,
тема,,,,
параграф,,,,
Что такое нормативные требования к организации и проведению образовательного процесса?,1.0,2.0,,
дидактические принципы,,,,
закономерности обучения,,,,
педагогические концепции,,,,
дидактические теории,,,,
"Что является противоречием между выдвигаемыми ходом обучения практическими задачами и наличным уровнем знаний, умений и навыков учащихся?",1.0,2.0,,
движущая сила процесса обучения,,,,
условие развития познавательной активности учащихся,,,,
сущность процесса обучения,,,,
педагогическая проблема,,,,
"Как называется образ, аналог определенного фрагмента природной или социальной реальности?",1.0,2.0,,
модель,,,,
предмет,,,,
стереотип,,,,
объект,,,,
"Как называется форма совместной работы педагогов, объединяющая их по характеру преподаваемого предмета?",1.0,2.0,,
методическое объединение,,,,
исследовательский коллектив,,,,
педагогический консилиум,,,,
педагогический совет,,,,
"Какой признак теории подразумевает формирование действий как внешне речевых, а также выполнение действий в уме?",1.0,2.0,,
поэтапное формирование умственных действий,,,,
оптимизация учебного процесса,,,,
проблемное обучение,,,,
содержательное обобщение,,,,
"Какой метод обучение наиболее эффективно формирует умение выявлять, систематизировать и применять знания?",1.0,2.0,,
ситуационный,,,,
демонстрация,,,,
познавательная игра,,,,
упражнение,,,,
"Что называется воспитывающим и обучающим воздействием учителя на ученика, направленное на его личностное, интеллектуальное и деятельностное развитие?",1.0,2.0,,
педагогической деятельностью,,,,
преподаванием,,,,
образованием,,,,
научением,,,,
Что относится к достоинствам дистанционного обучения?,1.0,2.0,,
"учет индивидуальных способностей, потребностей учащихся",,,,
взаимодействие в образовательном процессе,,,,
постоянный контроль,,,,
репродуктивный характер усвоения знаний,,,,
Что называется оценкой в процессе обучения?,1.0,3.0,,
качественный показатель уровня и глубины знаний учащихся,,,,
количественный показатель оценки знаний учащихся,,,,
"балльная система, определяющая уровень успеваемости учащихся",,,,
проверка знаний учащихся,,,,
"Как называются материальные или идеальные объекты, предназначенные для усвоения знаний, формирования опыта познавательной и практической деятельности?",1.0,3.0,,
средства обучения,,,,
формы обучения,,,,
принципы обучения,,,,
модели обучения,,,,
Как называется установление главных целей и задач обучения на его определенных этапах?,1.0,3.0,,
целеполагание,,,,
моделирование,,,,
конструирование,,,,
проектирование,,,,
По каким уровням образования выделяются образовательные учреждения?,1.0,3.0,,
"начальные, средние, высшие",,,,
"мужские, женские",,,,
"конфессиональные, светские",,,,
"общеобразовательные, профессиональные",,,,
Чем характеризуется подростковый кризис?,1.0,3.0,,
стремлением к самостоятельности,,,,
нехватке внимания,,,,
потребность в общении,,,,
неравномерное развитие особенностей,,,,
Чья идея лежит в основе проектной технологии?,1.0,3.0,,
Дьюи,,,,
В.Занкова,,,,
Ф.Шаталова,,,,
И.Шамовой,,,,
Что означает принцип наглядности в дидактике?,1.0,3.0,,
привлечение органов чувств к восприятию учебного материала,,,,
просмотр кино- и видеофильмов,,,,
"использование плакатов, схем",,,,
проведение опытов,,,,
"Как называется учебное заведение, сочетающее обучение и научную деятельность, смысл которого изначально понимался как «союз людей, заинтересованных в науке»?",1.0,3.0,,
 университетом,,,,
институтом,,,,
высшей школой,,,,
академией,,,,
Какие фазы являются основой обучения критическому мышлению?,1.0,3.0,,
"вызов, осмысление, размышление",,,,
"определение, активизация, закрепление.",,,,
"преподавание, учение, деятельность.",,,,
"обучение, воспитание, развитие.",,,,
"Как называется способ разрешения конфликтов, характеризующийся признанием права детей на собственное мнение?",1.0,3.0,,
сотрудничество,,,,
поощрение,,,,
уклонением,,,,
сглаживание,,,,
Что является объективными противоречиями между потребностями воспитанника и возможностями их удовлетворения?,1.0,4.0,,
движущие силы воспитания,,,,
условия воспитания,,,,
ценности воспитания,,,,
закономерности воспитания,,,,
"Особенностью какого воспитания является внушение индивидам и группам мировоззрения, норм поведения, соответствующих принципам определенной конфессии?",1.0,4.0,,
религиозного,,,,
семейного,,,,
антисоциального,,,,
поликультурного,,,,
Какие родительские авторитеты А.С.Макаренко относил к ложным?,1.0,4.0,,
"подкуп, доброта, подавление",,,,
"сотрудничество, взаимопомощь",,,,
доверие взаимная ответственность,,,,
"педантизм, чванство, родство",,,,
"К какому принципу относится признание самоценности личности, реализация внутренней и внешней свободы?",1.0,4.0,,
гуманизма,,,,
демократизации,,,,
целостности,,,,
непрерывности,,,,
Что предполагает принцип связи воспитания с жизнью?,1.0,4.0,,
соединение воспитания с практической деятельностью,,,,
учет индивидуальных особенностей воспитанников,,,,
соединение воспитания и дополнительного образования,,,,
формирование общеучебных умений,,,,
В какой период жизни человека общение выступает особым видом деятельности межличностных отношений?,1.0,4.0,,
юности,,,,
детстве,,,,
младенчестве,,,,
старости,,,,
"К какому типу воспитания относится формирование интеллектуальной культуры, познавательных мотивов и мировоззрения личности?",1.0,4.0,,
умственному,,,,
социальному,,,,
нравственному,,,,
духовному,,,,
Что из нижеперечисленного не относится к принципам семейного воспитания?,1.0,4.0,,
ориентация на государственный заказ,,,,
последовательность в требованиях,,,,
гуманность и милосердие,,,,
оптимистичность взаимоотношений в семье,,,,
"Как называется способ разрешения конфликтов, заставляющий детей и подростков принять точку зрения руководителя?",1.0,4.0,,
принуждение,,,,
уклонение,,,,
сглаживание,,,,
компромисс,,,,
Что является процессом устранения отрицательных свойств личности и замещениях их положительными?,1.0,4.0,,
перевоспитание,,,,
коррекция,,,,
реабилитация,,,,
воспитание,,,,
Какой метод воспитания основан на стремлении ребенка к подражанию?,1.0,5.0,,
пример,,,,
убеждение,,,,
упражнение,,,,
приучение,,,,
Как называется стимулирование положительных проявлений личности в ходе воспитания с помощью высокой оценки?,1.0,5.0,,
поощрение,,,,
общественное мнение,,,,
авансирование,,,,
убеждение,,,,
"Что составляет требования к деятельности, являющиеся руководством в практике воспитания?",1.0,5.0,,
принципы воспитания,,,,
направления воспитания,,,,
нормы воспитания,,,,
идеи воспитания,,,,
Что является объективными противоречими между потребностями воспитанника и возможностями их удовлетворения?,1.0,5.0,,
движущими силами воспитания,,,,
условиями воспитания,,,,
ценностями воспитания,,,,
закономерностями воспитания,,,,
"Ведущую роль в воспитании играет религия, поэтому образование должно развивать у детей чувства, веруК сущности какой педагогики это относится?",1.0,5.0,,
неотомизма,,,,
экзистенциализма,,,,
прагматизма,,,,
неопозитивизма,,,,
"Особенность какого воспитания является взаимосвязь субъектов и объектов, построенная по принципу «господин-раб»?",1.0,5.0,,
диссоциального,,,,
религиозного,,,,
коррекционного,,,,
семейного,,,,
Какое воспитание не относится к основным направлениям воспитания?,1.0,5.0,,
семейное,,,,
эстетическое,,,,
нравственное,,,,
умственное,,,,
Как называется готовность подчинять свои личные и групповые интересы общим интересам страны?,1.0,5.0,,
патриотизм,,,,
интернационализм,,,,
национализм,,,,
менталитет нации,,,,
"При каком типе общения учитываются индивидуальные особенности личности, но для интереса дела?",1.0,5.0,,
деловое,,,,
примитивное,,,,
духовное,,,,
нравственное,,,,
Какой из нижеперечисленных принципов является одним из принципов отечественной психологии?,1.0,5.0,,
принцип единства сознания и деятельности,,,,
принцип научения,,,,
принцип единства мышления и интуиции,,,,
принцип учёта возрастных особенностей человека,,,,
Что относится к психическим процессам?,1.0,6.0,,
ощущение,,,,
способности,,,,
характер,,,,
темперамент,,,,
Что является специфической характеристикой тестирования?,1.0,6.0,,
стандартизация процедуры,,,,
субъективность полученных результатов,,,,
глубина полученных результатов процедуры,,,,
индивидуальный подход в подборе заданий,,,,
Как называется наблюдение человека за внутренним планом собственной психической жизни?,1.0,6.0,,
интроспекция,,,,
интерференция,,,,
интеракция,,,,
интуиция,,,,
Как называется изучение психики посредством общения?,1.0,6.0,,
метод беседы,,,,
тестов,,,,
наблюдения,,,,
анкеты,,,,
Как назыывается специфический вид человеческой активности?,1.0,6.0,,
деятельностью,,,,
рефлексом,,,,
реакцией,,,,
сознанием,,,,
Как называется способ выполнения действий?,1.0,6.0,,
операция,,,,
деятельность,,,,
поддействие,,,,
квазидействие,,,,
К какой системе относится профессия учитель?,1.0,6.0,,
человек-человек,,,,
человек-техника,,,,
человек-природа,,,,
человек-знаковая система,,,,
"Как называется род трудовой деятельности человека, предмет его постоянных занятий?",1.0,6.0,,
профессией,,,,
творчеством,,,,
специализацией,,,,
мастерством,,,,
Как называется отнесенность наглядного образа восприятия к определенным предметам внешнего мира?,1.0,6.0,,
предметностью,,,,
избирательностью,,,,
адекватностью,,,,
осмысленностью,,,,
Что означает сознательно воспринимать предмет?,1.0,6.0,,
"отнести воспринятый предмет к определенной группе, классу предметов, обобщить его в слове",,,,
воспринять предмет под углом зрения потребностей,,,,
просчитать возможные последствия взаимодействия этих предметов,,,,
"воспринимать предмет или явление, находясь в сознании, т.еосознавая факт своего восприятия этого предмета",,,,
"Как называются школы, где дети по собственному желанию или по воле родителей осваивают основы того или иного вероучения?",2.0,7.0,,
воскресными,,,,
интернатом,,,,
трудовыми,,,,
коммунами,,,,
Как называется уровень обученности и подготовленности к выполнению определенного вида деятельности по полученному направлению подготовки или специальности?,2.0,7.0,,
квалификацией,,,,
специальностью,,,,
профессией,,,,
конкурентоспособностью,,,,
Что является способностью человека удерживать в центре внимания определенное число разнородных объектов одновременно?,2.0,7.0,,
распределение внимания,,,,
концентрация внимания,,,,
подвижность внимания,,,,
устойчивость внимания,,,,
Что характеризует человека как субъекта деятельности?,2.0,7.0,,
активность,,,,
межполушарная асимметрия,,,,
"пол, возраст",,,,
конституция,,,,
В чем проявляется характер человека?,2.0,7.0,,
"в отношении к себе, людям, деятельности, вещам",,,,
"интроверсии, экстраверсии, тревожности, импульсивности",,,,
"чрезмерной выраженности отдельных личностных черт, граничащей с психопатией",,,,
"пластичности, ригидности, реактивности, темпе психических реакций",,,,
"Как называется описание системы признаков, характеризующих ту или иную профессию, перечень норм и требований к работнику?",2.0,7.0,,
профессиограммой,,,,
технологией,,,,
государственным образовательным стандартом,,,,
должностной инструкцией,,,,
На какую педагогическую деятельность делится профессиональная готовность к педагогической деятельности?,2.0,7.0,,
научно-теоретическую,,,,
социально-экономическую,,,,
практическую,,,,
культурную,,,,
Какой процесс общения задействуется при невербальной коммуникации?,2.0,7.0,,
мимика и жесты,,,,
язык,,,,
письмо,,,,
расстояние,,,,
Чем обусловлено развитие педагогики?,2.0,7.0,,
объективной потребностью подготовки человека к жизни и труду,,,,
повышением роли воспитания общественной жизни,,,,
заботой родителей о счастье детей,,,,
прогрессом науки и техники,,,,
Что такое метод воспитания?,2.0,7.0,,
путь достижения цели воспитания,,,,
вариант организации воспитательного мероприятия,,,,
совокупность однородных приемов воспитательного воздействия,,,,
совокупность средств воспитательного воздействия,,,,
Что такое классный час?,2.0,8.0,,
форма воспитания,,,,
метод воспитания,,,,
средства воспитания,,,,
учебное занятие,,,,
Что такое принципы обучения?,2.0,8.0,,
основные положения теории обучения,,,,
средства народной педагогики и современного педагогического процесса,,,,
"тезисы теории и практики обучения и образования, отражающие ключевые моменты в раскрытии процессов, явлений, событий",,,,
приемы работы по организации процесса обучения,,,,
Как можно охарактеризовать педагогический процесс?,2.0,8.0,,
целостен,,,,
линейчат,,,,
эзотеричен,,,,
асоциален,,,,
Какой характер должно носить обучение?,2.0,8.0,,
"творческий, личностный",,,,
циклопоточный,,,,
индивидуальный,,,,
полисубъектный,,,,
Что такое образование?,2.0,8.0,,
"результат получения системы знаний, умений, навыков и рациональных способов умственных действий",,,,
механизм социокультурной среды по приобщению к общечеловеческим ценностям,,,,
результат процессов социализации и адаптации,,,,
результат процесса воспитания,,,,
Что относят к современным моделям организации обучения?,2.0,8.0,,
"модели систем принципов, систем методов, форм, видов организации обучения",,,,
модели видов и форм организации обучения,,,,
модели форм и методов организации обучения,,,,
только модели форм организации обучения,,,,
Кто впервые сформулировал принципы обучения?,2.0,8.0,,
Коменский Я.А.,,,,
Песталоцци И.Г.,,,,
Монтень М.,,,,
Ушинский К.Д.,,,,
Что такое дидактика?,2.0,8.0,,
"наука об обучении и образовании, их целях, содержании, методах, средствах, организации, достигаемых результатах",,,,
искусство «детоводческое мастерство»,,,,
упорядоченная деятельность педагога по реализации цели обучения,,,,
система приобретенных в процессе обучения ЗУН и способов мышления,,,,
Что такое обучение?,2.0,8.0,,
"упорядоченное взаимодействие педагога с учащимися, направленное на достижение поставленной цели",,,,
"категория философии, психологии и педагогики",,,,
наука о получении образования,,,,
"упорядочение дидактического процесса по определенным критериям, придание ему необходимой формы с целью наилучшей реализации поставленной цели",,,,
Что такое форма организации обучения?,2.0,8.0,,
"то, где организуется процесс обучения",,,,
"тo, как организуется процесс обучения",,,,
"то, зачем организуется процесс обучения",,,,
"то, для кого организуется процесс обучения",,,,
Какова продолжительность стандартного урока в школе?,2.0,9.0,,
40–45 минут,,,,
30 минут,,,,
90 минут,,,,
60 минут,,,,
Чем являются преподавание и учение?,2.0,9.0,,
категории обучения,,,,
методы обучения,,,,
формы обучения,,,,
средства обучения,,,,
На какие виды подразделяются Педагогические технологии?,2.0,9.0,,
"общепредметные, предметные и модульные",,,,
"общепредметные, предметные, модульные и частнометодические",,,,
общепредметные и предметные,,,,
предметные и модульные,,,,
Какой из уроков не является уроком контроля знаний умений и навыков?,2.0,9.0,,
суггестивный,,,,
компьютерный,,,,
сочинение,,,,
лабораторная работа,,,,
Какими могут быть средства обучения?,2.0,9.0,,
"материальные (технические, информационные) и идеальные",,,,
идеальные и реальные,,,,
материальные и идеологические,,,,
технические и эстетические,,,,
Какими категориями обусловлен Учебно-воспитательный процесс?,2.0,9.0,,
совокупностью категорий педагогической науки,,,,
обучение и воспитание,,,,
совокупностью категорий дидактики,,,,
совокупностью категорий психолого-педагогической антропологии,,,,
В основе какого вида обучения лежит алгоритм в его первоначальном смысле?,2.0,9.0,,
Программированное,,,,
Модульное,,,,
Компьютерное,,,,
Программное,,,,
Что не относится к письменному контролю?,2.0,9.0,,
сообщение,,,,
тест,,,,
сочинение,,,,
изложение,,,,
Что из нижеперечисленного не относится к методам контроля?,2.0,9.0,,
взаимооценку,,,,
компьютерный контроль,,,,
письменный контроль,,,,
устный контроль,,,,
Какие категории имеет обучение?,2.0,9.0,,
преподавание и учение,,,,
социализация и адаптация,,,,
учение и воспитание,,,,
преподавание и научение,,,,
Что такое педагогическая технология?,2.0,10.0,,
"совокупность средств и методов воспроизведения теоретически обоснованных процессов обучения и воспитания, позволяющих успешно реализовывать поставленные цели",,,,
"форма психической активности личности, направленная на познание и преобразование мира и самого человека",,,,
"активное взаимодействие с окружающей действительностью, в ходе которого живое существо выступает как субъект, целенаправленно воздействующий на объект и удовлетворяющий таким образом свои потребности",,,,
практический метод достижения нравственного самосовершенствования посредством регуляции человеком своих телесных потребностей,,,,
"К какому обучению относится процесс, в ходе которого готовые знания преподносятся учащимся, с последующим процессом закрепления, обобщения, систематизации и контроля?",2.0,10.0,,
Репродуктивное обучение,,,,
Суггестивное обучение,,,,
Проблемное обучение,,,,
Уровневое обучение,,,,
Что является формой организации обучения в средней школе?,2.0,10.0,,
урок,,,,
занятие,,,,
классный час,,,,
час общения,,,,
Что из нижеперечисленого не является педагогическим творчеством?,2.0,10.0,,
искусство воспитания подрастающего поколения,,,,
решение учебно-воспитательных задач в изменяющихся обстоятельствах,,,,
предвосхищение желаемых и предотвращение нежелательных результатов в развитии личности,,,,
внесение в образовательный процесс качественно новых элементов,,,,
"В состав чего входят знание положений педагогической теории, умение анализировать собственную научную деятельность?",2.0,10.0,,
методологической культуры учителя,,,,
культуры личности,,,,
педагогической культуры,,,,
базовой культуры личности,,,,
"Как называется форма профессиональной ориентации, предполагающая оказание помощи учащимся в выборе профессии?",2.0,10.0,,
консультацией,,,,
просвещением,,,,
собеседование,,,,
диагностикой,,,,
Что изучает возрастная психология?,2.0,10.0,,
феномены и закономерности психического развития,,,,
"психические явления, возникающие в условиях целенаправленного педагогического процесса.",,,,
возрастные изменения в поведении людей;,,,,
возрастные развитие личности,,,,
Какова главная задача возрастной психологии?,2.0,10.0,,
"раскрыть предпосылки, условия и движущие силы психического развития человека с момента рождения до глубокой старости;",,,,
"выполнение функции психологического сопровождения, помощи в кризисные периоды жизни человека;",,,,
изучение механизмов развития личности.,,,,
кризисные периоды жизни человека;,,,,
Каковы актуальные проблемы возрастной психологии?,2.0,10.0,,
научное обоснование возрастных норм; выявление потенциальных и актуальных возможностей личности в определенном возрасте,,,,
"проблема соотношения психики и поведения; исследование влияний социума на психические явления, как прямых, так и обратных;",,,,
проблема соотношения обучения и развития; проблема одаренности; проблема соотношения обучения и воспитания,,,,
проблема одаренности;,,,,
Каковы основные методы исследования в возрастной психологии?,2.0,10.0,,
"наблюдение, эксперимент, опрос, тестирование, метод поперечных и лонгитюдных срезов;",,,,
"наблюдение, тестирование, автобиографический метод, метод анализа продуктов деятельности;",,,,
"наблюдение, эксперимент, опрос, тестирование, интроспекция, сравнительно-генетический метод.",,,,
метод анализа продуктов деятельности;,,,,
С какими науками тесно связана возрастная психология?,2.0,11.0,,
"дифференциальной психологией, общей психологией, социальной, психологией человека, педагогической психологией;",,,,
"общей психологией, психологией человека, социальной, педагогической и юридической психологией;",,,,
"общей психологией, психологией человека, психологией труда, социальной, юридической и дифференциальной;",,,,
педагогической и юридической психологией;,,,,
Чем является возраст в возрастной психологии?,2.0,11.0,,
конкретная относительно ограниченная во времени ступень психического развития; совокупностью закономерных физиологических и психологических изменений;,,,,
временная характеристика индивидуального развития;,,,,
это уровень социальных достижений индивида в сравнении со статистически средним уровнем людей одного с ним возраста.,,,,
совокупностью закономерных физиологических и психологических изменений;,,,,
Какова ведущая деятельность в подростковом возрасте?,2.0,11.0,,
"люди, на которых он хочет быть похож;",,,,
"люди, с которыми он конфликтует;",,,,
родители и близкие.,,,,
близкие и равестники,,,,
Что являются основными качествами манипулятора?,2.0,11.0,,
все ответы верны,,,,
примитивность чувств,,,,
лживость,,,,
недоверие к себе и другим,,,,
Что являются особенностями невербального общения?,2.0,11.0,,
все ответы верны,,,,
его проявление обусловлено импульсами нашего подсознания,,,,
отсутствие возможности подделать эти импульсы,,,,
"его проявлениям доверяют больше, чем вербальному каналу общения",,,,
Каков нижний качественный предел малой группы?,2.0,11.0,,
2 человек,,,,
10 человек,,,,
12 человек,,,,
5 человек,,,,
Как влияют технические средства в достижении эффективности коммуникаций?,2.0,11.0,,
повышают оперативность в заключении контрактов,,,,
устраняют психологические последствия нежелательных личных контактов,,,,
затрудняют контакты,,,,
коммуникативное отношения,,,,
К каким барьерам относится неправильное отношение в процессе общения членов группы?,2.0,11.0,,
социально-психологическим ,,,,
организационно-психологическим,,,,
неправильных установок сознания,,,,
некоммуникабельност,,,,
Какое влияние оказывает мотивация на групповое поведение человека?,2.0,11.0,,
повышает эффективность деятельности,,,,
определяет групповое мнение,,,,
разобщает групповые интересы,,,,
интересы человека,,,,
Как называется система групповых ожиданий и требований относительно исполнения индивидом социальных ролей?,2.0,11.0,,
экспектацией,,,,
установкой,,,,
позицией,,,,
стремление,,,,
"Как называется риск в принятии управленческого решения, рассчитанный на ситуативные преимущества стороны, принимающей это решение?",2.0,12.0,,
мотивированным,,,,
целенаправленным,,,,
конформным,,,,
индивидуальным,,,,
Чем являются навыки и умения в структуре личности?,2.0,12.0,,
психическими образованиями ,,,,
психическими процессами,,,,
психическими состояниями,,,,
психическими навыками,,,,
"Какой компетентностью называется владение руководителем приемами личностного саморазвития, самовыражения, самореализации?",2.0,12.0,,
личностной,,,,
специальной,,,,
организационно-методической,,,,
коллективный,,,,
"Какой арсенал психологии высшего образования включает в себя практически весь набор методов, процедур и частных методик исследования, обследования или психологического воздействия, которые используются во всех отраслях или разделах психологической науки?",2.0,12.0,,
методический ,,,,
аксиоматический,,,,
практический,,,,
практический- аксиоматический,,,,
С чем связан студенческий этап развития жизни челочека с социальной точки зрения?,2.0,12.0,,
с формированием относительной экономической самостоятельности,,,,
с отходом от родительского дома,,,,
с формированием семьи,,,,
все ответы верны,,,,
В каком году дали название тестам для измерения интеллектуального уровня IQ?,2.0,12.0,,
1910,,,,
1915,,,,
1912,,,,
1920,,,,
"К какому функцию виды относится описание: «возможно тогда, когда каждый участник имеет образ собеседника, знает его личностные особенности, может предвидеть его реакции, учитывает интересы и убеждения партнера""?",2.0,12.0,,
манипулятивное общение,,,,
современное общение,,,,
"духовное, межличностное общение",,,,
светское общение,,,,
"Кто действует в рамках новой концепции мышления, будет исследовать влияние любых действий с точки зрения их последствий для состояния равновесия?",2.0,12.0,,
менеджер,,,,
рабочий,,,,
потребитель,,,,
профессионал,,,,
Что из нижеперечисленного является важнейшим фактором для эффективности любой организаии?,2.0,12.0,,
благоприятная деловая окружающая среда,,,,
оптимальная стратегии организации,,,,
качество человеческих (особенно управленческих) ресурсов,,,,
все ответы верны,,,,
"К какому закону динамики психологических процессов относится следующее описание: закон устанавливает, что разные люди, и даже один человек, в разное время могут по-разному реагировать на одинаковые воздействия?",2.0,12.0,,
закон неадекватности самооценки,,,,
закон неопределенности отклика,,,,
закон неадекватности отображения человека человеком,,,,
отображения человека человеком,,,,
Опишите закон расщепления смысла управленческой информации?,2.0,13.0,,
объективная тенденция к изменению смысла директивной и иной информации в процессе ее движения по иерархической лестнице управления,,,,
"психика человека представляет собой органичное единство двух составляющих: осознанного (логическомыслительного) и неосознанного (эмоционально-чувственного, интуитивного), составляя как бы надводную (видимую) и подводную (скрытую) части айсберга",,,,
"при высоком уровне стимуляции к труду и высоких требованиях организационного окружения к человеку, нехватка каких-либо способностей для успешной конкретной деятельности возмещается другими способностями или навыками",,,,
составляя как бы надводную (видимую) и подводную (скрытую) части айсберга,,,,
"Какой подход рассматривает человека как субъекта труда с оценкой и формированием пригодности человека для конкретной деятельности или видов деятельности и предусматривает психологическое, физиологическое, медицинское и другое обеспечение процесса формирования профессионала в определенной деятельности?",2.0,13.0,,
профессиоцентрический подход,,,,
альтерцентрический подход,,,,
антропоцентрический подход,,,,
индивидуальный подход,,,,
"К какой адаптации подходит описание: процесс становления равновесия в системе «человек - профессиональная среда», которое проявляется в эффективности и качестве труда, в удовлетворенности человека процессом труда, его результатом, собой как профессионалом, взаимоотношениями в коллективе?",2.0,13.0,,
социальной,,,,
профессиональной,,,,
практической,,,,
умение и навыки,,,,
Что является профессионально-специфическим интересом?,2.0,13.0,,
"интерес к предметам, направленный на процессы труда, характеризующие ее основные функции, а также к результатам, выраженным в созданных продуктах, предоставляемых услугах и т. п.",,,,
базируется на представлении о необычности данной профессии,,,,
"интерес формируется на основе случайных, нетипичных для данной профессии признаков и объясняется узостью профессионального кругозора оптанта",,,,
"выражается в созданных продуктах, предоставляемых услугах и т. п.",,,,
Как можно описать интерес престижа? ,2.0,13.0,,
интерес сопутствующих возможностей,,,,
интерес к самовоспитанию,,,,
"выбор профессии обусловлен перспективами профессионального роста, эта профессия обеспечивает, престижности профессии в обществе",,,,
романтический интерес,,,,
Сколько типов мотивации выбора профессии? ,2.0,13.0,,
3,,,,
5,,,,
2,,,,
4,,,,
"К каким свойствам относятся точность и стабильность движений, скоростные параметры действий?",2.0,13.0,,
физиологическим,,,,
психомоторным свойствам,,,,
сенсорно-перцептивным,,,,
психологическим,,,,
"Чем является повторяющееся общение на двух уровнях, когда человек изображает одно, на деле имеет ввиду совсем другое, например, разговор врача и пациента?",2.0,13.0,,
развлечения ,,,,
ритуалы ,,,,
близость,,,,
игры ,,,,
Чем характеризуется общение?,2.0,13.0,,
содержанием,,,,
функциями ,,,,
средствами,,,,
все ответы верны,,,,
Что такое профессиональное самоопределение?,2.0,13.0,,
"осознанный выбор профессии с учетом своих особенностей и возможностей, требований профессиональной деятельности и социально-экономических условий",,,,
"важная характеристика социально-психологической зрелости личности, ее потребности в самореализации и самоактуализации",,,,
избирательное отношение индивида к миру профессий в целом и к конкретной выбранной профессии,,,,
требований профессиональной деятельности и социально-экономических условий,,,,
"К какому функцию общения относится описание: ""развитие людей и формирование новых отношений между ними""?",2.0,14.0,,
креативная ,,,,
когнитивная ,,,,
эмотивная ,,,,
информационная,,,,
Что из себя представляет Сила «Я»?,2.0,14.0,,
"понимается поведенческая особенность, характеризующаяся позитивными устойчивыми усилиями, направленными на улучшение ситуации.",,,,
"В основном изучаются трудности в эмоциональном выражении, которые имеют два аспекта.",,,,
"представляется как механизм, связывающий психосоциальное влияние со здоровьем. Она может влиять на физиологическую систему, опосредующую здоровое функционирование.",,,,
направленными на улучшение ситуации.,,,,
Сколько позитивных факторных потенциалов психологии здоровья?,2.0,14.0,,
7,,,,
8,,,,
9,,,,
6,,,,
"К какому потенциалу относится следующие методы: гуманистически-ориентированной психотерапии, группы личностного роста, модели построения, реализации целей и перенацеливания?",2.0,14.0,,
потенциал тела,,,,
потенциал разума,,,,
потенциал воли,,,,
духовный потенциал,,,,
"Что является признаком, характеризующим понятие «тест»?",2.0,14.0,,
валидность,,,,
конформность,,,,
аттрактивность,,,,
ассоциативность,,,,
Что лежит в основе привычек?,2.0,14.0,,
потребность,,,,
желание,,,,
характер,,,,
мотивация,,,,
Что является основным фактором развития человека в современном обществе?,2.0,14.0,,
Адаптация к социальной среде,,,,
Биологическая борьба за существование,,,,
Изменения природной среды,,,,
Компьютерная грамотность,,,,
Чем характеризуется воображение?,2.0,14.0,,
"Созданием образов, основанных на ранее сформированных представлениях",,,,
Отражением в человеческом сознании целостных образов предметов и явлений действительности,,,,
"Идеями и решениями, которые отличаются новизной и уникальностью",,,,
"Особым состоянием, основанном на желании идеального будущего",,,,
Какую характеристику педагогики как науки можно назвать специфичной?,2.0,14.0,,
